rank	ru	en	pos
198	всё	all, everything	P
199	результа'т	result	Nm
200	бо'льше	more	Adv
201	высо'кий	tall, high	A
202	наприме'р	for example	Adv
203	почти'	almost	Adv
204	писа'ть	write	V
205	возвраща'ться	return	V
206	сиде'ть	sit	V
207	уходи'ть	leave	V
208	твой	your, yours	P
209	маши'на	machine, car	Nf
210	гру'ппа	group, grouping	Nf
211	пока'	while	C
212	находи'ться	be	V
213	пра'во	right, rights, law	Nn
214	уви'деть	see	V
215	война'	war	Nf
216	путь	way	Nm
217	что-то	something, anything	P
218	ведь	but, after all	Part
219	стоя'ть	stand	V
220	и'мя	name	Nn
221	никогда'	never	P
222	помога'ть	help	V
223	сто'ить	cost	V
224	отве'т	answer, reply	Nm
225	появля'ться	appear	V
226	бог	God	Nm
227	вода'	water	Nf
228	совсе'м	completely, very	Adv
229	язы'к	language, tongue	Nm
230	пока'зывать	show	V
231	каза'ться	seem	V
232	далеко'	far	Adv
233	ну'жный	necessary	A
234	ма'ленький	small	A
235	росси'йский	Russian	A
236	реше'ние	decision	Nn
237	наро'д	people, nation	Nm
238	расска'зывать	tell	V
239	власть	power	Nf
240	сра'зу	at once	Adv
241	ночь	night	Nf
242	по'лный	full, total	A
243	никако'й	no, none, any	P
244	гла'вный	chief, main	A
245	оно'	it	P
246	дверь	door	Nf
247	ча'сто	often	Adv
248	у'ровень	level, rate	Nm
249	создава'ть	create	V
250	зако'н	law	Nm
251	разви'тие	development	Nn
252	програ'мма	programme	Nf
253	нача'ло	beginning	Nn
254	написа'ть	write	V
255	оте'ц	father	Nm
256	нога'	leg, foot	Nf
257	вме'сте	together	Adv
258	ста'рый	old	A
259	моме'нт	moment	Nm
260	по'мощь	help	Nf
261	цель	goal	Nf
262	сле'дующий	next	A
263	чи'сло	number, date	Nn
264	подо'бный	similar	A
265	ра'зный	different, all kinds of	A
266	ты'сяча	thousand	Nf
267	про	about	Prep
268	о'бщий	general, common	A
269	мину'та	minute	Nf
270	информа'ция	information	Nf
271	кро'ме	besides, apart from	Prep
272	смочь	be able, can	V
273	проце'сс	process	Nm
274	а'втор	author	Nm
275	фо'рма	form, shape	Nf
276	го'лос	voice, vote	Nm
277	ме'сяц	month	Nm
278	мысль	thought	Nf
279	свет	light	Nm
280	шко'ла	school	Nf
281	де'йствие	action, effect	Nn
282	вся'кий	any, every	P
283	ка'чество	quality	Nn
284	ситуа'ция	situation	Nf
285	о'бласть	region, area, field	Nf
286	внима'ние	attention	Nn
287	сле'довать	follow, should	V
288	доро'га	road	Nf
289	испо'льзовать	use	V
290	со'бственный	own	A
291	замеча'ть	notice, note	V
292	взгляд	glance	Nm
293	усло'вие	condition	Nn
294	молодо'й	young	A
295	мужчи'на	man	Nm
296	предлага'ть	offer, propose	V
297	сно'ва	again	Adv
298	любо'вь	love	Nf
299	связь	connection, bond, communication	Nf
300	ва'жный	important	A
301	ждать	wait	V
302	вдруг	suddenly	Adv
303	игра'	game	Nf
304	чита'ть	read	V
305	ско'ро	soon	Adv
306	организа'ция	organization	Nf
307	статья'	article	Nf
308	сре'дство	remedy, means, way	Nn
309	душа'	soul	Nf
310	входи'ть	enter	V
311	пыта'ться	try, attempt	V
312	основно'й	main, fundamental	A
313	те'ло	body	Nn
314	посмотре'ть	watch, look	V
315	жена'	wife	Nf
316	открыва'ть	open	V
317	пора'	it’s time	Nf
318	узнава'ть	recognize, find out	V
319	письмо'	letter	Nn
320	о'бщество	society	Nn
321	состоя'ние	condition, state	Nn
322	настоя'щий	present	A
323	ве'чер	evening	Nm
324	существова'ть	exist, be	V
325	наза'д	back, ago	Adv
326	смысл	meaning, sense, point	Nm
327	семья'	family	Nf
328	ме'ра	measure	Nf
329	госуда'рство	state	Nn
330	соверше'нно	entirely	Adv
331	вещь	thing	Nf
332	просто'й	simple	A
333	оставля'ть	leave	V
334	у'тро	morning	Nn
335	действи'тельно	really	Adv
336	мать	mother	Nf
337	де'вушка	girl	Nf
338	зате'м	then	Adv
339	вести'	lead, drive	V
340	стол	table	Nm
341	причи'на	cause	Nf
342	прое'кт	project, draft	Nm
343	у'лица	street	Nf
344	ры'нок	market	Nm
345	игра'ть	play	V
346	госуда'рственный	state	A
347	происходи'ть	take place, originate	V
348	по'мнить	remember, recall	V
349	называ'ть	name	V
350	то'чка	point	Nf
351	нельзя'	impossible	Adv
352	начина'ться	begin	V
353	да'нный	given, the	P
354	подходи'ть	come, approach	V
355	опя'ть	again	Adv
356	те'ма	theme, topic	Nf
357	ра'вный	equal	A
358	неде'ля	week	Nf
359	хоте'ться	want, like	V
360	вызыва'ть	cause, call	V
361	ко'мната	room	Nf
362	ино'й	other, different	P
363	бе'лый	white	A
364	наконе'ц	finally	Adv
365	куда'	where	P
366	изве'стный	known	A
367	центр	centre	Nm
368	цена'	price	Nf
369	сын	son	Nm
370	забыва'ть	forget	V
371	де'ятельность	activity	Nf
372	осо'бенно	especially, particularly 	Adv
373	иде'я	idea	Nf
374	про'тив	against	Prep
375	пра'вило	rule	Nn
376	сове'тский	Soviet	A
377	лу'чший	best	A
378	движе'ние	movement, traffic	Nn
379	занима'ться	study, work	V
380	огро'мный	huge	A
381	среди'	among	Prep
382	ма'ма	mum	Nf
383	вели'кий	great	A
384	коли'чество	quantity	Nn
385	чу'вство	feeling	Nn
386	сли'шком	too	Adv
387	иногда'	sometimes	Adv
388	смерть	death	Nf
389	лежа'ть	lie	V
390	труд	work	Nm
391	вспомина'ть	remember	V
392	пять	five	Num
393	зада'ча	task	Nf
394	быва'ть	be, visit, happen	V
395	получа'ться	come out, be	V
396	доста'точно	enough	Adv
397	си'льный	strong, powerful	A
398	мне'ние	opinion	Nn
399	бы'стро	quickly	Adv
400	чу'вствовать	feel, sense	V
401	тре'тий	third	Num
402	чёрный	black	A
403	приме'р	example	Nm
404	гото'вый	ready, willing	A
405	положе'ние	position, situation	Nn
406	поря'док	order	Nm
407	продолжа'ть	continue, carry on	V
408	век	century	Nm
409	поско'льку	because	C
410	муж	husband	Nm
411	речь	speech	Nf
412	полити'ческий	political	A
413	представля'ть	present, imagine	V
414	стена'	wall	Nf
415	попада'ть	hit, get	V
416	слы'шать	hear	V
417	поду'мать	think	V
418	ходи'ть	walk	V
419	окно'	window	Nn
420	ря'дом	near	Adv
421	план	plan	Nm
422	тип	type	Nm
423	о'ба	both	Num
424	сове'т	council, advice	Nm
425	совреме'нный	modern	A
426	удава'ться	manage	V
427	приезжа'ть	arrive, come	V
428	плохо'й	bad	A
429	из-за	from behind, because of	Prep
430	о'пыт	experience, experiment	Nm
431	се'рдце	heart	Nn
432	нау'ка	science	Nf
433	сообще'ние	message	Nn
434	управле'ние	management, control	Nn
435	да'нные	data	N-
436	о'коло	near, by	Prep
437	интере'с	interest	Nm
438	проси'ть	ask	V
439	газе'та	newspaper	Nf
440	интере'сный	interesting	A
441	необходи'мый	necessary	A
442	материа'л	material	Nm
443	роль	role	Nf
444	вполне'	quite	Adv
445	объясня'ть	explain	V
446	ра'но	early	Adv
447	обраща'ться	consult, treat	V
448	поста'вить	put	V
449	а'рмия	army	Nf
450	свя'зывать	connect, tie together	V
451	то'чно	exactly	Adv
452	четы'ре	four	Num
453	до'лго	long	Adv
454	разли'чный	different	A
455	ли'бо	or	C
456	социа'льный	social	A
457	ме'нее	less, under	Adv
458	собы'тие	event	Nn
459	иска'ть	look for	V
460	большинство'	majority	Nn
461	пра'вда	truth	Adv
462	кра'сный	red	A
463	давно'	long, long ago	Adv
464	легко'	easy, easily	Adv
465	прави'тельство	government	Nn
466	боя'ться	fear, be afraid	V
467	суд	court	Nm
468	президе'нт	president	Nm
469	возмо'жно	possibly, may	Adv
470	занима'ть	borrow, occupy the   position of, be	V
471	вое'нный	military	N-
472	рубль	ruble	Nm
473	це'лый	whole	A
474	фильм	film	Nm
475	умира'ть	die	V
476	би'знес	business	Nm
477	обы'чно	usually	Adv
478	спать	sleep	V
479	миллио'н	million	Nm
480	сообща'ть	report	V
481	культу'ра	culture	Nf
482	текст	text	Nm
483	носи'ть	carry, wear	V
484	брать	take	V
485	докуме'нт	document	Nm
486	снима'ть	rent, remove, withdraw, shoot (film)	V
487	член	member	Nm
488	телефо'н	telephone	Nm
489	относи'ться	relate, be part of	V
490	выбира'ть	choose	V
491	определя'ть	define, determine	V
492	спо'соб	way, means	Nm
493	тече'ние	course, current	Nn
494	счёт	account, bill	Nm
495	живо'й	alive, live	N-
496	встава'ть	stand (up), get up	V
497	случа'ться	happen	V
498	роди'тель	parent	Nm
499	небольшо'й	small, little	A
500	купи'ть	buy	V
501	разгово'р	talk, conversation	Nm
502	сей	this	P
503	еди'нственный	only	A
504	метр	metre	Nm
505	при'нцип	principle	Nm
506	сайт	site	Nm
507	пра'вый	right	N-
508	немно'го	little, a bit	Adv
509	па'ртия	party, consignment	Nf
510	образова'ние	education	Nn
511	ско'лько	how many, how much	Num
512	заче'м	why, what for	P
513	приноси'ть	bring	V
514	наве'рное	probably	Adv
515	убива'ть	kill	V
516	пери'од	period	Nm
517	кста'ти	by the way	Adv
518	па'ра	couple, pair	Nf
519	ряд	row, number	Nm
520	кварти'ра	flat	Nf
521	значе'ние	meaning	Nn
522	вну'тренний	internal, inside	A
523	позволя'ть	allow, enable	V
524	да'лее	further	Adv
525	успева'ть	manage	V
526	возмо'жный	possible	A
527	жела'ние	desire, wish	Nn
528	слу'шать	listen	V
529	поднима'ть	lift, raise	V
530	но'мер	number, hotel room	Nm
531	броса'ть	throw	V
532	чуть	slightly, a bit	Adv
533	о'чередь	queue	Nf
534	поли'тика	politics	Nf
535	класс	class, year	Nm
536	брат	brother	Nm
537	собира'ться	prepare, plan	V
538	тре'бовать	require	V
539	отмеча'ть	mark, celebrate	V
540	произво'дство	manufacture, production	Nn
541	райо'н	area, district	Nm
542	осно'ва	base	Nf
543	ве'рить	believe	V
544	измене'ние	change	Nn
545	бли'зкий	close	A
546	челове'ческий	human	A
547	дово'льно	quite	Adv
548	экономи'ческий	economic	A
549	факт	fact	Nm
550	стро'ить	build	V
551	ме'стный	local	A
552	определённый	definite, specific	A
553	не'бо	sky	Nn
554	созда'ние	creation	Nn
555	направле'ние	direction	Nn
556	осо'бый	special	A
557	предприя'тие	enterprise	Nn
558	шаг	step	Nm
559	до'брый	good, kind	A
560	по'ле	field	Nn
561	ход	course	Nm
562	иссле'дование	research	Nn
563	остально'й	other, remaining	P
564	пол	floor, sex	Nm
565	кома'нда	team	Nf
566	поднима'ться	raise, ascend, walk up	V
567	обще'ственный	public	A
568	ма'льчик	boy	Nm
569	заставля'ть	force	V
570	туда'	there	P
571	пусть	let	Part
572	ме'тод	method	Nm
573	ма'ло	little, not much	Adv
574	встре'ча	meeting	Nf
575	снача'ла	at first	Adv
576	сон	sleep, dream	Nm
577	отдава'ть	return, give	V
578	слу'жба	service	Nf
579	остана'вливаться	stop	V
580	во'здух	air	Nm
581	кровь	blood	Nf
582	зре'ние	sight	Nn
583	врач	doctor	Nm
584	по'вод	cause, reason	Nm
585	рост	growth, height	Nm
586	е'хать	go, ride, drive	V
587	встреча'ть	meet	V
588	нра'виться	like	V
589	зна'ние	knowledge	Nn
590	како'й-то	some	P
591	всё-таки	nevertheless, still	Part
592	населе'ние	population	Nn
593	па'лец	finger	Nm
594	де'сять	ten	Num
595	обы'чный	usual	A
596	орга'н	organ, authorities	Nm
597	до'ллар	dollar	Nm
598	держа'ть	keep, hold	V
599	похо'жий	similar	A
600	устана'вливать	establish, install	V
601	уча'стие	participation, role	Nn
602	дорого'й	expensive, dear	A
603	реа'льный	real	A
604	род	gender, kind	Nm
605	наибо'лее	most(ly)	Adv
606	де'вочка	girl	Nf
607	кру'пный	large	A
608	мо'ре	sea	Nn
609	как-то	somehow	P
610	хоть	at least	Part
611	приро'да	nature, natural environment	Nf
612	магази'н	shop	Nm
613	улыба'ться	smile	V
614	весьма'	highly, very	Adv
615	испо'льзование	use	Nn
616	бо'льший	bigger, larger	A
617	домо'й	home	Adv
618	объе'кт	object, subject	Nm
619	па'мять	memory	Nf
620	свобо'да	freedom	Nf
621	борьба'	struggle, battle	Nf
622	ли'чный	personal	A
623	каса'ться	touch	V
624	причём	moreover, on top of that, and also	C
625	необходи'мо	necessary, need	Adv
626	назва'ние	name	Nn
627	проводи'ть	lead, spend	V
628	отде'льный	separate	A
629	предме'т	item, subject	Nm
630	добавля'ть	add	V
631	плечо'	shoulder	Nn
632	му'зыка	music	Nf
633	самолёт	(aero)plane	Nm
634	пози'ция	position	Nf
635	стара'ться	try	V
636	хара'ктер	character, nature	Nm
637	ука'зывать	state	V
638	разме'р	size	Nm
639	пить	drink	V
640	сре'дний	average, middle	A
641	проду'кт	product	Nm
642	геро'й	hero	Nm
643	собира'ть	collect, pick (up)	V
644	серьёзный	serious	A
645	со'лнце	sun	Nn
646	передава'ть	give, pass, tell	V
647	дух	spirit, morale	Nm
648	сеть	network, chain	Nf
649	представи'тель	representative	Nm
650	лес	forest	Nm
651	журна'л	magazine	Nm
652	март	March	Nm
653	национа'льный	national	A
654	террито'рия	territory	Nf
655	иску'сство	art	Nn
656	америка'нский	American	A
657	сло'вно	as if	C
658	уча'стник	participant	Nm
659	впро'чем	however	Adv
660	вариа'нт	option, variant	Nm
661	свобо'дный	free	A
662	судьба'	fate	Nf
663	срок	term, period	Nm
664	институ'т	institute	Nm
665	переходи'ть	pass, cross, change	V
666	гость	guest	Nm
667	междунаро'дный	international	A
668	де'йствовать	act	V
669	спосо'бный	capable	A
670	практи'чески	practically	Adv
671	сою'з	union, alliance, conjunction	Nm
672	отка'зываться	refuse	V
673	Интерне'т	Internet	Nm
674	пе'сня	song	Nf
675	по'здний	late	A
676	лу'чше	better	Part
677	ум	mind	Nm
678	сте'пень	degree, extent, degree  (academic)	Nf
679	успе'х	success	Nm
680	па'рень	guy, boy	Nm
681	соглаша'ться	agree	V
682	кто-то	anyone, someone	P
683	това'р	product, item	Nm
684	наде'яться	hope, rely	V
685	предложе'ние	offer, sentence	Nn
686	обнару'живать	find, discover	V
687	река'	river	Nf
688	обеспе'чивать	provide	V
689	фи'рма	firm	Nf
690	граждани'н	citizen	Nm
691	составля'ть	compile, make, put together	V
692	моско'вский	Moscow	A
693	заявля'ть	report, claim	V
694	това'рищ	comrade	Nm
695	норма'льный	normal, regular	A
696	Евро'па	Europe	Nf
697	карти'на	painting, picture	Nf
698	созна'ние	consciousness	Nn
699	апре'ль	April	Nm
700	по'лностью	completely	Adv
701	си'льно	strongly, considerably	Adv
702	обраща'ть	pay, render, turn	V
703	исто'чник	source	Nm
704	дире'ктор	director	Nm
705	грани'ца	border	Nf
706	состоя'ть	be, consist of	V
707	вме'сто	instead of	Prep
708	закрыва'ть	close	V
709	полови'на	half	Nf
710	опера'ция	operation	Nf
711	поступа'ть	enter, enrol, behave	V
712	про'бовать	try	V
713	вы'бор	choice	Nm
714	оце'нка	evaluation, mark	Nf
715	ого'нь	fire, light	Nm
716	моде'ль	model	Nf
717	специали'ст	specialist	Nm
718	соба'ка	dog	Nf
719	компью'тер	computer	Nm
720	краси'вый	beautiful	A
721	техноло'гия	technology	Nf
722	де'рево	tree	Nn
723	вы'ход	exit, way out	Nm
724	нау'чный	scientific	A
725	мирово'й	world	A
726	гора'	mountain, hill	Nf
727	де'тский	child’s, childlike	A
728	уме'ть	be able, can	V
729	жела'ть	wish	V
730	бе'рег	shore, bank	Nm
731	кора'бль	ship	Nm
732	широ'кий	wide	A
733	прекра'сный	fine, great	A
734	и'бо	for, because	C
735	постоя'нно	constantly	Adv
736	рабо'чий	worker	N-
737	вне'шний	external	A
738	литерату'ра	literature	Nf
739	тяжёлый	heavy, serious	A
740	среда'	Wednesday	Nf
741	сотру'дник	employee, colleague	Nm
742	услы'шать	hear	V
743	сло'жный	complex, sophisticated	A
744	зал	hall, room	Nm
745	во'йско	army	Nn
746	структу'ра	structure	Nf
747	бой	fight, battle	Nm
748	несмотря'	despite	Adv
749	коро'ткий	short	A
750	стра'нный	strange	A
751	нача'льник	head	Nm
752	ни'зкий	low	A
753	край	edge	Nm
754	оши'бка	mistake	Nf
755	це'рковь	church	Nf
756	сюда'	here	P
757	бу'дущее	future	Nn
758	про'шлый	last	A
759	бума'га	paper	Nf
760	подде'ржка	support	Nf
761	по'льзоваться	use	V
762	ли'ния	line	Nf
763	бы'стрый	fast, quick	A
764	защи'та	protection	Nf
765	сча'стье	happiness	Nn
766	всего'	only	Part
767	рома'н	affair, novel	Nm
768	вы'глядеть	look	V
769	име'ться	be available, have	V
770	ве'тер	wind	Nm
771	соста'в	composition	Nm
772	возника'ть	occur, arise, be encountered	V
773	англи'йский	English	A
774	вы'сший	high, highest	A
775	курс	course	Nm
776	тео'рия	theory	Nf
777	ра'зве	really	Part
778	вокру'г	around	Prep
779	дли'нный	long	A
780	бы'вший	ex-, former	A
781	простра'нство	space	Nn
782	учи'ться	study	V
783	во'зраст	age	Nm
784	поня'тие	idea, concept	Nn
785	чи'стый	clean, pure	A
786	потеря'ть	lose	V
787	поведе'ние	behaviour	Nn
788	спина'	back	Nf
789	тру'дно	difficult	Adv
790	услу'га	service	Nf
791	продава'ть	sell	V
792	служи'ть	serve	V
793	ору'жие	weapon, firearm	Nn
794	США	USA	N-
795	направля'ть	send, direct	V
796	страх	fear, worry	Nm
797	страни'ца	page	Nf
798	па'па	dad	Nm
799	враг	enemy	Nm
800	по'иск	search	Nm
801	два'дцать	twenty	Num
802	руководи'тель	director	Nm
803	эконо'мика	economy	Nf
804	столь	so, that	P
805	отку'да	where (from)	P
806	гора'здо	much	Adv
807	хозя'ин	master	Nm
808	стра'шный	terrible	A
809	ожида'ть	expect, await	V
810	ка'мень	stone	Nm
811	расска'з	story	Nm
812	звук	sound	Nm
813	вновь	again	Adv
814	солда'т	soldier	Nm
815	наде'жда	hope	Nf
816	ка'рта	card, map	Nf
817	господи'н	master, mister, gentleman	Nm
818	лета'ть	fly	V
819	цвет	colour	Nm
820	сесть	sit down	V
821	специа'льный	special	A
822	попы'тка	attempt	Nf
823	круг	circle	Nm
824	одна'жды	once	Adv
825	устра'ивать	organize, arrange, suit,   be convenient	V
826	коммента'рий	comment	Nm
827	посыла'ть	send	V
828	глава'	head, chapter	Nf
829	уда'р	stroke, blow	Nm
830	клие'нт	client, customer	Nm
831	ина'че	otherwise	P
832	кра'йний	extreme, far	A
833	признава'ть	recognize, admit	V
834	до'ктор	doctor	Nm
835	достига'ть	reach	V
836	исчеза'ть	disappear	V
837	означа'ть	mean	V
838	гляде'ть	look	V
839	пока'зываться	appear	V
840	изменя'ть	change, be unfaithful	V
841	дочь	daughter	Nf
842	отправля'ть	send	V
843	респу'блика	republic	Nf
844	ста'вить	put	V
845	пожа'луйста	please	Part
846	пое'хать	go	V
847	еди'ный	united	A
848	во'лос	hair	Nm
849	соверша'ть	accomplish, do, make	V
850	Герма'ния	Germany	Nf
851	называ'ться	be called	V
852	отсу'тствие	absence	Nn
853	прямо'й	straight, direct	A
854	проце'нт	per cent, percentage	Nm
855	ма'сса	mass, lots, weight	Nf
856	ба'за	base	Nf
857	до'лгий	long	A
858	необходи'мость	necessity	Nf
859	ве'ра	faith	Nf
860	студе'нт	student	Nm
861	ана'лиз	analysis, test	Nm
862	отправля'ться	depart	V
863	зда'ние	building	Nn
864	ребя'та	children, guys	N-
865	конкре'тный	specific	A
866	у'гол	corner, angle	Nm
867	ско'рость	speed	Nf
868	тре'бование	requirement, demand	Nn
869	бу'дто	as if	Part
870	бежа'ть	run	V
871	но'вость	news	Nf
872	откры'тый	open	A
873	спи'сок	list	Nm
874	представле'ние	performance, idea	Nn
875	учи'тель	teacher	Nm
876	вы'вод	conclusion	Nm
877	догово'р	agreement	Nm
878	положи'ть	put	V
879	эне'ргия	energy	Nf
880	зави'сеть	depend	V
881	неме'цкий	German	A
882	обяза'тельно	obligatory	Adv
883	боль	pain, ache	Nf
884	приме'рно	roughly	Adv
885	безопа'сность	safety, security	Nf
886	май	May	Nm
887	пло'хо	bad(ly)	Adv
888	ви'дно	visible	Adv
889	удово'льствие	pleasure	Nn
890	не'кий	a certain, some	P
891	спосо'бность	ability	Nf
892	пре'жде	before, first	Prep
893	произноси'ть	pronounce, say	V
894	перестава'ть	stop	V
895	до'ма	at home	Adv
896	ощуще'ние	feeling, sensation	Nn
897	а'дрес	address	Nm
898	за'падный	western	A
899	писа'тель	writer	Nm
900	проти'вник	enemy	Nm
901	сфе'ра	sphere, sector	Nf
902	люби'мый	favourite, beloved 	N-
903	звезда'	star	Nf
904	проверя'ть	check	V
905	спаси'бо	thanks	Part
906	вперёд	forward	Adv
907	знак	sign, mark	Nm
908	влия'ние	influence, effect	Nn
909	во'все	at all	Adv
910	уве'ренный	confident, certain	A
911	грудь	chest, breast	Nf
912	двор	yard	Nm
913	ника'к	no way	P
914	опи'сывать	describe	V
915	банк	bank	Nm
916	контро'ль	control	Nm
917	пункт	paragraph	Nm
918	ра'дость	gladness, joy	Nf
919	чуж'ой	strange, unfamiliar	N-
920	фу'нкция	function	Nf
921	за'втра	tomorrow	Adv
922	впечатле'ние	impression	Nn
923	задава'ть	ask, give	V
924	содержа'ние	contents	Nn
925	сохраня'ть	keep	V
926	основа'ние	foundation, basis, setting up	Nn
927	зака'нчивать	finish	V
928	объём	volume, size	Nm
929	вчера'	yesterday	Adv
930	проща'ть	forgive	V
931	пря'мо	straight	Adv
932	режи'м	mode, regime	Nm
933	во'ля	will	Nf
934	киломе'тр	kilometre	Nm
935	расти'	grow	V
936	звать	call	V
937	пра'вильный	correct	A
938	ли'чность	personality, identity 	Nf
939	шесть	six	Num
940	одновреме'нно	simultaneously	Adv
941	здоро'вье	health	Nn
942	рот	mouth	Nm
943	регио'н	region	Nm
944	преде'л	limit, bound	Nm
945	мо'жет	maybe, might	Adv
946	физи'ческий	physical	A
947	чита'тель	reader	Nm
948	стари'к	old man	Nm
949	пра'ктика	practice	Nf
950	знако'мый	familiar, acquainted	N-
951	ме'дленный	slow	A
952	боево'й	battle	A
953	побе'да	victory	Nf
954	хвата'ть	grasp, be enough	V
955	элеме'нт	element	Nm
956	янва'рь	January	Nm
957	руково'дство	guidance, management,  leadership	Nn
958	есте'ственно	naturally, of course	Adv
959	постоя'нный	constant	A
960	же'нский	female, feminine, woman’s,  ladies’	A
961	встреча'ться	meet	V
962	сто'имость	cost	Nf
963	а'вгуст	August	Nm
964	очередно'й	next, another	A
965	счастли'вый	happy	A
966	секу'нда	second	Nf
967	жи'тель	inhabitant, resident	Nm
968	мно'жество	many, multitude	Nn
969	пра'здник	holiday, festival	Nm
970	су'мма	amount	Nf
971	ви'димо	evidently	Adv
972	ка'жется	seem	Adv
973	команди'р	commander	Nm
974	сце'на	scene, stage	Nf
975	наско'лько	how	Adv
976	те'хника	equipment, technique	Nf
